customerID,Contract,tenure,MonthlyCharges,Churn,Predicted_Churn_Probability,Risk_Tier
9681-OXGVC,Month-to-month,5,100.5,Yes,0.9025893738823495,High
7206-GZCDC,Month-to-month,1,69.25,Yes,0.902008583269939,High
1820-TQVEV,Month-to-month,1,69.55,Yes,0.9018516065974175,High
7577-SWIFR,Month-to-month,1,89.25,No,0.9018436811659545,High
5597-GLBUC,Month-to-month,1,85.45,Yes,0.9014296118610361,High
7493-TPUWZ,Month-to-month,1,79.15,Yes,0.9006000379151756,High
3428-XZMAZ,Month-to-month,1,69.35,Yes,0.9003612267743667,High
6457-GIRWB,Month-to-month,1,69.35,Yes,0.9003612267743667,High
6513-EECDB,Month-to-month,1,73.55,Yes,0.9003241131957782,High
0488-GSLFR,Month-to-month,1,69.5,Yes,0.9002971200768902,High
2545-EBUPK,Month-to-month,2,84.05,No,0.9002741347583579,High
6023-YEBUP,Month-to-month,3,100.95,Yes,0.8996074707362698,High
6861-XWTWQ,Month-to-month,7,99.25,Yes,0.8995579371396193,High
6521-YYTYI,Month-to-month,1,93.3,Yes,0.8993479996180378,High
9603-OAIHC,Month-to-month,1,70.05,No,0.8989528053951269,High
1143-NMNQJ,Month-to-month,2,85.7,Yes,0.8989417719413221,High
1846-XWOQN,Month-to-month,1,70.15,Yes,0.8988474628398511,High
2446-BEGGB,Month-to-month,6,98.25,Yes,0.89878728242464,High
5567-WSELE,Month-to-month,3,94.6,Yes,0.8985673121056215,High
4822-RVYBB,Month-to-month,8,100.6,Yes,0.8984412824885246,High
9728-FTTVZ,Month-to-month,1,69.2,Yes,0.8978539239880945,High
7660-HDPJV,Month-to-month,1,69.2,Yes,0.8978539239880945,High
9488-HGMJH,Month-to-month,1,71.15,Yes,0.8977981783016632,High
6474-FVJLC,Month-to-month,2,86.0,Yes,0.8977850091634407,High
3494-JCHRQ,Month-to-month,1,70.05,Yes,0.897772307656813,High
9605-WGJVW,Month-to-month,1,70.2,No,0.8976767288593296,High
4695-WJZUE,Month-to-month,2,88.55,Yes,0.8976039644460136,High
3878-AVSOQ,Month-to-month,1,71.25,No,0.8971533854895839,High
5277-ZLOOR,Month-to-month,2,85.55,Yes,0.8970781785356033,High
0318-QUUOB,Month-to-month,1,80.55,Yes,0.8969177291073542,High
8051-HJRLT,Month-to-month,1,70.55,Yes,0.8966342258973043,High
0328-GRPMV,Month-to-month,1,70.1,Yes,0.8965250526024113,High
4702-IOQDC,Month-to-month,1,70.1,Yes,0.8965250526024113,High
8884-ADFVN,Month-to-month,7,101.95,Yes,0.896493836210423,High
4844-JJWUY,Month-to-month,1,86.0,Yes,0.896384610250973,High
9546-CQJSU,Month-to-month,2,91.4,Yes,0.8962327895625327,High
6230-BSUXY,Month-to-month,1,85.0,Yes,0.8961834523651144,High
8644-XLFBW,Month-to-month,1,71.65,Yes,0.8958253719493151,High
2202-CUYXZ,Month-to-month,1,84.85,Yes,0.8958145122788422,High
9305-CDSKC,Month-to-month,8,99.65,Yes,0.8955098170390327,High
4626-GYCZP,Month-to-month,7,93.85,Yes,0.8952160091466741,High
2725-KXXWT,Month-to-month,1,90.75,Yes,0.8951413381016294,High
1031-IIDEO,Month-to-month,1,70.85,Yes,0.8951367535391387,High
6653-CBBOM,Month-to-month,1,70.3,Yes,0.8949695280293773,High
1640-PLFMP,Month-to-month,1,70.25,No,0.8945379755132635,High
3244-DCJWY,Month-to-month,1,70.25,Yes,0.8945379755132635,High
2446-PLQVO,Month-to-month,1,70.3,Yes,0.8945354937540987,High
2656-TABEH,Month-to-month,4,100.2,Yes,0.8944027489082959,High
0259-GBZSH,Month-to-month,2,85.65,Yes,0.8943320354546564,High
5376-DEQCP,Month-to-month,1,70.6,Yes,0.8942819072505777,High
0107-YHINA,Month-to-month,1,99.75,Yes,0.8941495383711714,High
3049-SOLAY,Month-to-month,3,95.2,Yes,0.8940373721323776,High
7465-ZZRVX,Month-to-month,1,70.35,No,0.8936236307145794,High
3716-BDVDB,Month-to-month,1,69.1,Yes,0.8933891485927393,High
2506-TNFCO,Month-to-month,1,69.55,Yes,0.8928536149984736,High
8161-QYMTT,Month-to-month,7,94.1,No,0.8925207551280954,High
9124-LHCJQ,Month-to-month,1,85.45,Yes,0.8920997368099983,High
4927-WWOOZ,Month-to-month,2,91.45,No,0.8915342724124651,High
0781-LKXBR,Month-to-month,9,100.5,Yes,0.8911511170534573,High
1628-BIZYP,Month-to-month,1,85.0,No,0.8911175933599088,High
5196-SGOAK,Month-to-month,1,75.7,Yes,0.8907104452584217,High
3811-VBYBZ,Month-to-month,7,99.8,Yes,0.8900994292764335,High
2660-EMUBI,Month-to-month,10,95.35,Yes,0.8897847214987307,High
1363-TXLSL,Month-to-month,1,70.3,Yes,0.8887694984367575,High
2462-XIIJB,Month-to-month,5,92.5,Yes,0.8879716026947176,High
3765-JXVKY,Month-to-month,1,74.7,Yes,0.8877283614074647,High
1977-STDKI,Month-to-month,1,73.0,Yes,0.8875413292425783,High
8593-WHYHV,Month-to-month,3,85.3,Yes,0.8868452256364446,High
4750-ZRXIU,Month-to-month,4,84.6,Yes,0.8866317516373886,High
0564-JJHGS,Month-to-month,9,95.5,Yes,0.8859374773460036,High
2865-TCHJW,Month-to-month,4,89.2,Yes,0.8859168287998881,High
5797-APWZC,Month-to-month,1,90.6,Yes,0.885800173305405,High
7294-TMAOP,Month-to-month,1,90.55,Yes,0.885800173305405,High
7488-MXJIV,Month-to-month,4,85.65,Yes,0.8856121809127251,High
1447-GIQMR,Month-to-month,1,69.15,Yes,0.8847835100631483,High
5919-TMRGD,Month-to-month,1,79.35,Yes,0.8845010482260892,High
2205-YMZZJ,Month-to-month,7,84.8,Yes,0.8844369535380245,High
2968-SSGAA,Month-to-month,10,100.6,Yes,0.8844363419283807,High
4548-SDBKE,Month-to-month,5,85.2,Yes,0.884372179530428,High
1455-UGQVH,Month-to-month,10,98.5,Yes,0.8842124366063204,High
7330-WZLNC,Month-to-month,5,90.8,Yes,0.884075727244548,High
0697-ZMSWS,Month-to-month,4,85.65,Yes,0.8840704551702475,High
1624-NALOJ,Month-to-month,5,89.8,Yes,0.8838982955177094,High
9725-SCPZG,Month-to-month,1,90.85,Yes,0.8837425155502344,High
0196-VULGZ,Month-to-month,6,84.35,Yes,0.8837328464907324,High
7594-RQHXR,Month-to-month,1,79.6,Yes,0.8837042077104867,High
4274-OWWYO,Month-to-month,1,74.35,Yes,0.8835719092965981,High
3489-HHPFY,Month-to-month,2,84.05,No,0.8835361528465182,High
8372-JUXUI,Month-to-month,1,74.35,Yes,0.8831680759965682,High
6892-EZDTG,Month-to-month,4,91.65,Yes,0.8829049431193141,High
4550-EVXNY,Month-to-month,1,69.65,Yes,0.8826926619184422,High
2034-GDRCN,Month-to-month,2,90.4,Yes,0.8824214466018864,High
1273-MTETI,Month-to-month,4,88.85,Yes,0.882188348645689,High
4273-MBHYA,Month-to-month,1,89.35,No,0.8820823881998042,High
2012-NWRPA,Month-to-month,11,99.55,Yes,0.8820457814080326,High
3727-RJMEO,Month-to-month,6,82.85,Yes,0.8820151075574326,High
6996-KNSML,Month-to-month,1,74.9,Yes,0.8819208233322583,High
0742-NXBGR,Month-to-month,1,82.3,Yes,0.8816677421549098,High
1925-TIBLE,Month-to-month,7,86.5,Yes,0.8816026735876259,High
6630-UJZMY,Month-to-month,4,83.25,No,0.88133503654298,High
8622-ZLFKO,Month-to-month,6,90.75,No,0.8811101280041231,High
9019-QVLZD,Month-to-month,1,79.55,Yes,0.8806378526896244,High
3276-HDUEG,Month-to-month,1,75.05,Yes,0.8804377065288177,High
8972-HJWNV,Month-to-month,7,84.55,Yes,0.8802891620422088,High
7943-RQCHR,Month-to-month,9,94.75,Yes,0.8800119168209989,High
8739-XNIKG,Month-to-month,5,84.0,No,0.8799847048650941,High
5383-MMTWC,Month-to-month,8,84.0,Yes,0.8795768290407443,High
9025-AOMKI,Month-to-month,6,93.55,Yes,0.879509843285112,High
1579-KLYDT,Month-to-month,7,90.45,Yes,0.8794267247406132,High
8780-IXSTS,Month-to-month,6,90.1,Yes,0.8792554591922243,High
4228-ZGYUW,Month-to-month,4,90.05,Yes,0.8789405104471797,High
4951-UKAAQ,Month-to-month,4,88.95,Yes,0.8788709331210043,High
2982-IHMFT,Month-to-month,1,74.45,Yes,0.8787895482743471,High
3387-VATUS,Month-to-month,5,94.85,Yes,0.8787886453133608,High
9223-UCPVT,Month-to-month,1,94.4,Yes,0.8784273921011048,High
9885-CSMWE,Month-to-month,1,78.45,Yes,0.8782395562155394,High
7409-KIUTL,Month-to-month,1,71.0,Yes,0.8780695175735572,High
7503-ZGUZJ,Month-to-month,1,84.65,Yes,0.8779265689454531,High
6496-SLWHQ,Month-to-month,3,105.0,Yes,0.8768623417823302,High
9451-LPGOO,Month-to-month,7,86.8,Yes,0.876352852260726,High
2777-PHDEI,Month-to-month,1,78.05,Yes,0.8761996148899139,High
7120-RFMVS,Month-to-month,1,84.5,Yes,0.8761590713992119,High
1400-MMYXY,Month-to-month,3,105.9,Yes,0.8760177358950517,High
0334-GDDSO,Month-to-month,3,81.35,Yes,0.8757135056425631,High
7180-PISOG,Month-to-month,1,74.5,Yes,0.8753877059123376,High
3462-BJQQA,Month-to-month,6,89.75,No,0.8752812951029779,High
5380-AFSSK,Month-to-month,5,93.9,Yes,0.8750767843438599,High
7314-OXENN,Month-to-month,2,82.0,Yes,0.8749277037712818,High
0754-UKWQP,Month-to-month,2,95.85,Yes,0.8748804120592746,High
7074-IEVOJ,Month-to-month,3,79.4,Yes,0.8746559354432607,High
4587-VVTOX,Month-to-month,6,105.3,Yes,0.8745645528588881,High
8382-SHQEH,Month-to-month,8,84.9,Yes,0.8745478228493585,High
5393-RXQSZ,Month-to-month,1,79.6,Yes,0.8744866973569259,High
1285-OKIPP,Month-to-month,1,79.9,Yes,0.8744866973569259,High
0637-KVDLV,Month-to-month,2,76.5,Yes,0.874303838208224,High
3389-YGYAI,Month-to-month,8,105.5,Yes,0.8740438271123827,High
8380-PEFPE,Month-to-month,1,71.65,Yes,0.8739525252312096,High
1304-NECVQ,Month-to-month,2,78.55,Yes,0.8739305860053502,High
2867-UIMSS,Month-to-month,1,80.5,Yes,0.8739026803347355,High
4806-HIPDW,Month-to-month,1,68.95,Yes,0.8737675968932732,High
6979-ZNSFF,Month-to-month,8,87.05,Yes,0.8732843133057238,High
4078-SAYYN,Month-to-month,11,100.75,Yes,0.8730110716113029,High
2672-HUYVI,Month-to-month,6,91.1,Yes,0.873001882127975,High
7450-NWRTR,Month-to-month,12,99.45,Yes,0.8729904036276539,High
8058-JMEQO,Month-to-month,9,84.45,Yes,0.8729638946190383,High
5229-PRWKT,Month-to-month,8,86.55,Yes,0.8728426009948017,High
7526-BEZQB,Month-to-month,12,96.05,Yes,0.8726319710358067,High
2642-DTVCO,Month-to-month,9,85.05,Yes,0.8721938970090398,High
1618-CFHME,Month-to-month,2,75.9,Yes,0.8721341618322956,High
8414-MYSHR,Month-to-month,5,91.4,Yes,0.8721126338730253,High
4713-LZDRV,Month-to-month,2,79.6,Yes,0.8717949622191344,High
0897-FEGMU,Month-to-month,11,99.5,Yes,0.8717476418920033,High
6969-MVBAI,Month-to-month,9,90.1,No,0.8712734966823776,High
7576-OYWBN,Month-to-month,3,76.05,Yes,0.8712087696706008,High
9965-YOKZB,Month-to-month,9,83.85,Yes,0.8710426658127072,High
3006-XIMLN,Month-to-month,2,94.2,Yes,0.8708925435512661,High
0137-OCGAB,Month-to-month,1,80.2,Yes,0.870823498311417,High
5299-SJCZT,Month-to-month,3,101.55,Yes,0.8707990208842972,High
8258-GSTJK,Month-to-month,3,77.0,Yes,0.870757097264914,High
7779-LGOVN,Month-to-month,10,86.65,Yes,0.87052394582702,High
6960-HVYXR,Month-to-month,1,76.0,Yes,0.8702448678156939,High
3422-GALYP,Month-to-month,2,79.45,No,0.8699617795217495,High
4143-OOBWZ,Month-to-month,5,81.3,Yes,0.8697199049565243,High
5134-IKDAY,Month-to-month,1,69.8,Yes,0.8697015022111746,High
6618-RYATB,Month-to-month,1,79.55,Yes,0.8696600266397454,High
1853-UDXBW,Month-to-month,1,70.0,Yes,0.8693919157033198,High
7249-WBIYX,Month-to-month,10,85.6,Yes,0.869367886794862,High
0679-IDSTG,Month-to-month,1,69.25,Yes,0.8693279507144617,High
3066-RRJIO,Month-to-month,1,69.95,Yes,0.8692746048570321,High
3746-EUBYR,Month-to-month,1,74.6,Yes,0.8692290569860016,High
1724-BQUHA,Month-to-month,5,89.5,Yes,0.8688558345008496,High
9611-CTWIH,Month-to-month,3,89.45,Yes,0.868828400733167,High
2982-VPSGI,Month-to-month,11,94.0,Yes,0.8687994368743432,High
3318-NMQXL,Month-to-month,3,92.0,No,0.8687408418704152,High
2990-HWIML,Month-to-month,6,89.5,Yes,0.8683139579367516,High
7817-BOQPW,Month-to-month,2,75.55,Yes,0.8682061431252439,High
7548-SEPYI,Month-to-month,5,96.25,Yes,0.8680754056159462,High
6688-UZPWD,Month-to-month,11,102.0,Yes,0.8678587259909702,High
2254-DLXRI,Month-to-month,1,79.15,No,0.8678194917609677,High
7153-OANIO,Month-to-month,1,69.95,Yes,0.8676143817962109,High
9878-TNQGW,Month-to-month,2,80.95,Yes,0.8675822240816327,High
6372-RFVNS,Month-to-month,1,78.8,Yes,0.8675245721164201,High
4847-TAJYI,Month-to-month,6,89.35,No,0.8674618091873874,High
5835-BEQEU,Month-to-month,3,76.95,Yes,0.8674456130757456,High
7760-OYPDY,Month-to-month,2,80.65,Yes,0.8672257336325544,High
4795-KTRTH,Month-to-month,5,81.0,Yes,0.8671108207692335,High
4529-CKBCL,Month-to-month,2,80.2,Yes,0.8667456783547247,High
3707-GNWHM,Month-to-month,1,74.25,Yes,0.8667034423462048,High
1981-INRFU,Month-to-month,2,79.75,Yes,0.8665271548151868,High
4115-NZRKS,Month-to-month,7,89.15,No,0.8663800334829865,High
6350-XFYGW,Month-to-month,4,94.75,No,0.866270110753542,High
9985-MWVIX,Month-to-month,1,70.15,Yes,0.8661240115482678,High
2619-WFQWU,Month-to-month,1,70.15,Yes,0.8661240115482678,High
3319-DWOEP,Month-to-month,6,95.75,Yes,0.866107686136765,High
1941-HOSAM,Month-to-month,1,90.1,No,0.8660525576074278,High
2262-SLNVK,Month-to-month,1,70.1,No,0.8659872078582261,High
1567-DSCIC,Month-to-month,8,94.0,Yes,0.8659629949711183,High
4140-MUHUG,Month-to-month,3,86.85,Yes,0.8656267482906335,High
2952-QAYZF,Month-to-month,5,85.3,Yes,0.865550813769355,High
2454-RPBRZ,Month-to-month,12,98.1,Yes,0.8654595214794739,High
5519-NPHVG,Month-to-month,12,94.2,Yes,0.8651022936250289,High
9689-PTNPG,Month-to-month,2,80.25,Yes,0.8650295773510848,High
3398-FSHON,Month-to-month,12,91.3,Yes,0.8650198022929224,High
7228-OMTPN,Month-to-month,4,88.45,Yes,0.8649234290952525,High
8086-OVPWV,Month-to-month,2,80.2,Yes,0.8649170996049619,High
4192-GORJT,Month-to-month,5,94.45,Yes,0.8648973614569858,High
1915-IOFGU,Month-to-month,1,70.5,Yes,0.8647978084518104,High
2691-NZETQ,Month-to-month,9,85.35,Yes,0.8646683573202913,High
8357-EQXFO,Month-to-month,7,95.35,Yes,0.864623690628271,High
3178-FESZO,Month-to-month,1,100.25,Yes,0.8645753221106751,High
9957-YODKZ,Month-to-month,6,80.8,No,0.8644274340246504,High
2215-ZAFGX,Month-to-month,9,85.5,No,0.8644121713355609,High
8337-UPOAQ,Month-to-month,10,89.8,Yes,0.8643789955740069,High
3177-LASXD,Month-to-month,1,71.35,Yes,0.8642254206818363,High
4145-UQXUQ,Month-to-month,8,92.1,Yes,0.8642099668573303,High
0968-GSIKN,Month-to-month,1,70.8,Yes,0.8641047201382636,High
3422-LYEPQ,Month-to-month,1,71.0,Yes,0.8639927698313457,High
1569-TTNYJ,Month-to-month,5,78.75,Yes,0.8638664738008383,High
2018-QKYGT,Month-to-month,1,81.05,No,0.8636146394713262,High
0702-PGIBZ,Month-to-month,4,101.7,Yes,0.863611213096569,High
0655-RBDUG,Month-to-month,7,98.05,Yes,0.8635506776104184,High
4234-XTNEA,Month-to-month,2,79.95,No,0.8635040102251115,High
0195-IESCP,Month-to-month,10,85.25,Yes,0.8631459738683094,High
8309-IEYJD,Month-to-month,1,70.6,No,0.8630596466524746,High
8931-GJJIQ,Month-to-month,9,83.3,Yes,0.862948267151247,High
9134-CEQMF,Month-to-month,7,89.5,Yes,0.8629381176645512,High
5032-MIYKT,Month-to-month,1,70.7,No,0.8628903133454101,High
0220-EBGCE,Month-to-month,2,85.85,Yes,0.8626657726665081,High
4090-KPJIP,Month-to-month,3,74.95,No,0.8626244428617372,High
4581-SSPWD,Month-to-month,3,75.8,Yes,0.8625977993359139,High
4952-YSOGZ,Month-to-month,4,85.95,Yes,0.8625407090967083,High
1320-HTRDR,Month-to-month,3,75.5,Yes,0.8625149897015192,High
9507-EXLTT,Month-to-month,1,79.35,Yes,0.862449578245194,High
0404-SWRVG,Month-to-month,3,74.4,Yes,0.8621449173617938,High
3643-AHCFP,Month-to-month,7,95.6,Yes,0.861995888995255,High
6108-OQZDQ,Month-to-month,4,97.95,Yes,0.8613414410708244,High
5054-IEXZT,Month-to-month,1,75.35,Yes,0.8613143273984868,High
4759-TRPLW,Month-to-month,1,70.4,Yes,0.8612522264358495,High
3871-IKPYH,Month-to-month,1,69.1,Yes,0.8612269106395758,High
0187-QSXOE,Month-to-month,7,89.0,No,0.8611060692072391,High
9306-CPCBC,Month-to-month,3,74.25,Yes,0.8609860996955336,High
5275-SQEIZ,Month-to-month,1,80.85,Yes,0.8609571729347054,High
2013-SGDXK,Month-to-month,1,84.3,Yes,0.8604335746500826,High
6857-VWJDT,Month-to-month,1,95.65,Yes,0.8602803152741963,High
6356-ELRKD,Month-to-month,1,95.6,Yes,0.8599281472535887,High
9944-HKVVB,Month-to-month,3,95.1,Yes,0.8595634565955862,High
3049-NDXFL,Month-to-month,1,85.8,Yes,0.8594670229178453,High
3902-FOIGH,Month-to-month,12,101.35,Yes,0.8590446342094221,High
4285-GYRQC,Month-to-month,7,86.25,Yes,0.859026657132859,High
5583-SXDAG,Month-to-month,1,70.0,Yes,0.8588088667541683,High
1393-IMKZG,Month-to-month,1,95.85,No,0.8582777764870503,High
8775-ERLNB,Month-to-month,1,74.3,No,0.8582680620724666,High
8443-ZRDBZ,Month-to-month,4,76.05,Yes,0.8581632318375976,High
0722-TROQR,Month-to-month,4,74.9,Yes,0.8578403664274676,High
5186-SAMNZ,Month-to-month,1,69.5,Yes,0.8571934260976758,High
8808-ELEHO,Month-to-month,8,81.25,Yes,0.8571865956643401,High
1678-FYZOW,Month-to-month,3,79.4,Yes,0.8571371092403319,High
4210-QFJMF,Month-to-month,4,79.15,Yes,0.8568366656736665,High
2612-RRIDN,Month-to-month,4,81.0,Yes,0.8566419039211778,High
6357-JJPQT,Month-to-month,3,80.5,No,0.8565116437673652,High
4086-YQSNZ,Month-to-month,3,80.4,Yes,0.8564763038368665,High
6161-UUUTA,Month-to-month,3,79.9,Yes,0.856333753535455,High
3519-ZKXGG,Month-to-month,3,75.85,Yes,0.856158470554601,High
9334-GWGOW,Month-to-month,7,74.85,No,0.8559006713788357,High
6941-PMGEP,Month-to-month,5,80.0,Yes,0.8558669750468784,High
0325-XBFAC,Month-to-month,8,94.7,Yes,0.8558145142132999,High
9061-TIHDA,Month-to-month,13,95.25,Yes,0.8557460981449773,High
8752-STIVR,Month-to-month,4,79.0,Yes,0.8557282359572205,High
8945-GRKHX,Month-to-month,1,78.65,Yes,0.8555902775348327,High
1197-BVMVG,Month-to-month,4,74.45,No,0.855509225907479,High
2645-QTLMB,Month-to-month,7,94.25,Yes,0.8553233558779197,High
7563-BIUPC,Month-to-month,5,80.6,Yes,0.8551320383055047,High
8083-YTZES,Month-to-month,4,74.35,Yes,0.8550206753274411,High
5445-UTODQ,Month-to-month,7,81.1,Yes,0.85483669021323,High
6910-HADCM,Month-to-month,1,76.35,Yes,0.8545257136727419,High
3138-BKYAV,Month-to-month,6,85.35,Yes,0.8543021518299332,High
1450-GALXR,Month-to-month,10,98.5,Yes,0.8542535730172482,High
8185-UPYBR,Month-to-month,6,75.5,Yes,0.8541671791818466,High
2077-MPJQO,Month-to-month,7,75.4,No,0.8541529844021665,High
9399-APLBT,Month-to-month,1,74.7,Yes,0.853981846758519,High
5956-VKDTT,Month-to-month,5,74.35,Yes,0.8539033877995366,High
2379-ENZGV,Month-to-month,6,84.85,Yes,0.8538849383061354,High
4749-OJKQU,Month-to-month,4,75.65,No,0.8535177322994487,High
7341-LXCAF,Month-to-month,4,74.65,Yes,0.8532870238974495,High
7908-QCBCA,Month-to-month,1,69.4,Yes,0.8532424421699821,High
6877-TJMBR,Month-to-month,1,84.8,Yes,0.8532368239362478,High
5564-NEMQO,Month-to-month,1,75.3,Yes,0.8531468564533299,High
0231-LXVAP,Month-to-month,1,75.9,Yes,0.853033061103842,High
2026-TGDHM,Month-to-month,7,79.3,Yes,0.8523755182507748,High
2959-MJHIC,Month-to-month,4,80.35,Yes,0.8522850035160168,High
5167-ZFFMM,Month-to-month,1,90.85,Yes,0.8522189873582922,High
3097-NQYSN,Month-to-month,2,86.85,Yes,0.8518158314349699,High
6140-QNRQQ,Month-to-month,1,71.55,Yes,0.8517996620019199,High
8042-JVNFH,Month-to-month,1,71.35,Yes,0.8517465122130813,High
0390-DCFDQ,Month-to-month,1,70.45,Yes,0.8516940075172408,High
4229-CZMLL,Month-to-month,6,74.9,Yes,0.8516526436944674,High
2856-HYAPG,Month-to-month,1,68.65,Yes,0.8516180863150145,High
5052-PNLOS,Month-to-month,3,105.35,Yes,0.8515586635405408,High
3320-VEOYC,Month-to-month,14,95.6,No,0.8515411901982407,High
